,Node,Technology,MutuallyExclusive,StorageType,OutflowsType,MustRun,BinaryCommitment,NoOperatingReserve,InitialPeriod,FinalPeriod,MaximumPower,MinimumPower,MaximumCharge,MinimumCharge,InitialStorage,MaximumStorage,MinimumStorage,Efficiency,ShiftTime,EFOR,RampUp,RampDown,UpTime,DownTime,FuelCost,LinearTerm,ConstantTerm,OMVariableCost,OperReserveCost,StartUpCost,ShutDownCost,CO2EmissionRate,Availability,FixedInvestmentCost,FixedChargeRate,BinaryInvestment,Inertia,FixedRetirementCost,BinaryRetirement,MaximumReactivePower,MinimumReactivePower,InvestmentLo,InvestmentUp,RetirementLo,RetirementUp
123_CT_5,Node_123,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,12.725,0,0,0,5.665234428000001,0,0.6810916682199999,0.966,,,,0,,,0,0,0,0,0,0
201_CT_1,Node_201,Oil,,,,,yes,,2015,2050,20.0,8,0,0,0.0,0.0,0,0.0,0,0.1,180.0,180.0,1.0,1.0,10.3494,13.977,0,0,0,0.051746999999999994,0,1.014377755968,0.966,,,,0,,,0,0,0,0,0,0
201_CT_2,Node_201,Oil,,,,,yes,,2015,2050,20.0,8,0,0,0.0,0.0,0,0.0,0,0.1,180.0,180.0,1.0,1.0,10.3494,13.977,0,0,0,0.051746999999999994,0,1.014377755968,0.966,,,,0,,,0,0,0,0,0,0
201_STEAM_3,Node_201,Coal,,,,,yes,,2015,2050,76.0,30,0,0,0.0,0.0,0,0.0,0,0.02,120.0,120.0,8.0,4.0,2.11399,12.989,0,0,0,11.172014351999998,0,1.237259453556,0.966,,,,0,,,0,0,0,0,0,0
202_CT_1,Node_202,Oil,,,,,yes,,2015,2050,20.0,8,0,0,0.0,0.0,0,0.0,0,0.1,180.0,180.0,1.0,1.0,10.3494,13.663,0,0,0,0.051746999999999994,0,0.9915892737919999,0.966,,,,0,,,0,0,0,0,0,0
202_CT_2,Node_202,Oil,,,,,yes,,2015,2050,20.0,8,0,0,0.0,0.0,0,0.0,0,0.1,180.0,180.0,1.0,1.0,10.3494,13.663,0,0,0,0.051746999999999994,0,0.9915892737919999,0.966,,,,0,,,0,0,0,0,0,0
202_STEAM_3,Node_202,Coal,,,,,yes,,2015,2050,76.0,30,0,0,0.0,0.0,0,0.0,0,0.02,120.0,120.0,8.0,4.0,2.11399,11.846,0,0,0,11.172014351999998,0,1.128383669784,0.966,,,,0,,,0,0,0,0,0,0
202_STEAM_4,Node_202,Coal,,,,,yes,,2015,2050,76.0,30,0,0,0.0,0.0,0,0.0,0,0.02,120.0,120.0,8.0,4.0,2.11399,11.846,0,0,0,11.172014351999998,0,1.128383669784,0.966,,,,0,,,0,0,0,0,0,0
207_CT_1,Node_207,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,13.051,0,0,0,5.665234428000001,0,0.6985404606632,0.966,,,,0,,,0,0,0,0,0,0
207_CT_2,Node_207,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,13.051,0,0,0,5.665234428000001,0,0.6985404606632,0.966,,,,0,,,0,0,0,0,0,0
213_CC_3,Node_213,NG,,,,,yes,,2015,2050,355.0,170,0,0,0.0,0.0,0,0.0,0,0.033,248.39999999999998,248.39999999999998,8.0,4.5,3.88722,7.824,0,0,0,28.046681022,0,0.41877101863679994,0.966,,,,0,,,0,0,0,0,0,0
213_CT_1,Node_213,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,13.125,0,0,0,5.665234428000001,0,0.7025012294999999,0.966,,,,0,,,0,0,0,0,0,0
213_CT_2,Node_213,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,13.125,0,0,0,5.665234428000001,0,0.7025012294999999,0.966,,,,0,,,0,0,0,0,0,0
215_CT_4,Node_215,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,14.229,0,0,0,5.665234428000001,0,0.7615916186327999,0.966,,,,0,,,0,0,0,0,0,0
215_CT_5,Node_215,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,14.229,0,0,0,5.665234428000001,0,0.7615916186327999,0.966,,,,0,,,0,0,0,0,0,0
216_STEAM_1,Node_216,Coal,,,,,yes,,2015,2050,155.0,62,0,0,0.0,0.0,0,0.0,0,0.04,180.0,180.0,8.0,8.0,2.11399,10.881,0,0,0,22.784795619,0,1.0364631699240001,0.966,,,,0,,,0,0,0,0,0,0
218_CC_1,Node_218,NG,,,,,yes,,2015,2050,355.0,170,0,0,0.0,0.0,0,0.0,0,0.033,248.39999999999998,248.39999999999998,8.0,4.5,3.88722,11.385,0,0,0,28.046681022,0,0.609369637932,0.966,,,,0,,,0,0,0,0,0,0
221_CC_1,Node_221,NG,,,,,yes,,2015,2050,355.0,170,0,0,0.0,0.0,0,0.0,0,0.033,248.39999999999998,248.39999999999998,8.0,4.5,3.88722,6.887,0,0,0,28.046681022,0,0.36861912133839997,0.966,,,,0,,,0,0,0,0,0,0
223_STEAM_1,Node_223,Coal,,,,,yes,,2015,2050,155.0,62,0,0,0.0,0.0,0,0.0,0,0.04,180.0,180.0,8.0,8.0,2.11399,10.857,0,0,0,22.784795619,0,1.034177064228,0.966,,,,0,,,0,0,0,0,0,0
223_STEAM_2,Node_223,Coal,,,,,yes,,2015,2050,155.0,62,0,0,0.0,0.0,0,0.0,0,0.04,180.0,180.0,8.0,8.0,2.11399,10.857,0,0,0,22.784795619,0,1.034177064228,0.966,,,,0,,,0,0,0,0,0,0
223_STEAM_3,Node_223,Coal,,,,,yes,,2015,2050,350.0,140,0,0,0.0,0.0,0,0.0,0,0.08,240.0,240.0,24.0,48.0,2.11399,11.229,0,0,0,36.749813559,0,1.069611702516,0.966,,,,0,,,0,0,0,0,0,0
223_CT_4,Node_223,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,19.794,0,0,0,5.665234428000001,0,1.0594521399408,0.966,,,,0,,,0,0,0,0,0,0
223_CT_5,Node_223,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,19.794,0,0,0,5.665234428000001,0,1.0594521399408,0.966,,,,0,,,0,0,0,0,0,0
223_CT_6,Node_223,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,19.794,0,0,0,5.665234428000001,0,1.0594521399408,0.966,,,,0,,,0,0,0,0,0,0
301_CT_1,Node_301,Oil,,,,,yes,,2015,2050,20.0,8,0,0,0.0,0.0,0,0.0,0,0.1,180.0,180.0,1.0,1.0,10.3494,14.593,0,0,0,0.051746999999999994,0,1.059083822912,0.966,,,,0,,,0,0,0,0,0,0
301_CT_2,Node_301,Oil,,,,,yes,,2015,2050,20.0,8,0,0,0.0,0.0,0,0.0,0,0.1,180.0,180.0,1.0,1.0,10.3494,14.593,0,0,0,0.051746999999999994,0,1.059083822912,0.966,,,,0,,,0,0,0,0,0,0
301_CT_3,Node_301,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,13.09,0,0,0,5.665234428000001,0,0.7006278928879999,0.966,,,,0,,,0,0,0,0,0,0
301_CT_4,Node_301,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,13.09,0,0,0,5.665234428000001,0,0.7006278928879999,0.966,,,,0,,,0,0,0,0,0,0
302_CT_1,Node_302,Oil,,,,,yes,,2015,2050,20.0,8,0,0,0.0,0.0,0,0.0,0,0.1,180.0,180.0,1.0,1.0,10.3494,14.593,0,0,0,0.051746999999999994,0,1.059083822912,0.966,,,,0,,,0,0,0,0,0,0
302_CT_2,Node_302,Oil,,,,,yes,,2015,2050,20.0,8,0,0,0.0,0.0,0,0.0,0,0.1,180.0,180.0,1.0,1.0,10.3494,14.593,0,0,0,0.051746999999999994,0,1.059083822912,0.966,,,,0,,,0,0,0,0,0,0
302_CT_3,Node_302,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,15.395,0,0,0,5.665234428000001,0,0.8240004897639999,0.966,,,,0,,,0,0,0,0,0,0
302_CT_4,Node_302,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,15.395,0,0,0,5.665234428000001,0,0.8240004897639999,0.966,,,,0,,,0,0,0,0,0,0
307_CT_1,Node_307,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,13.353,0,0,0,5.665234428000001,0,0.7147046794295999,0.966,,,,0,,,0,0,0,0,0,0
307_CT_2,Node_307,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,13.353,0,0,0,5.665234428000001,0,0.7147046794295999,0.966,,,,0,,,0,0,0,0,0,0
313_CC_1,Node_313,NG,,,,,yes,,2015,2050,355.0,170,0,0,0.0,0.0,0,0.0,0,0.033,248.39999999999998,248.39999999999998,8.0,4.5,3.88722,7.934,0,0,0,28.046681022,0,0.4246586479888,0.966,,,,0,,,0,0,0,0,0,0
315_STEAM_1,Node_315,Oil,,,,,yes,,2015,2050,12.0,5,0,0,0.0,0.0,0,0.0,0,0.02,60.0,60.0,4.0,2.0,10.3494,14.41,0,0,0,0.7037591999999999,0,1.1111653022799999,0.966,,,,0,,,0,0,0,0,0,0
315_STEAM_2,Node_315,Oil,,,,,yes,,2015,2050,12.0,5,0,0,0.0,0.0,0,0.0,0,0.02,60.0,60.0,4.0,2.0,10.3494,14.41,0,0,0,0.7037591999999999,0,1.1111653022799999,0.966,,,,0,,,0,0,0,0,0,0
315_STEAM_3,Node_315,Oil,,,,,yes,,2015,2050,12.0,5,0,0,0.0,0.0,0,0.0,0,0.02,60.0,60.0,4.0,2.0,10.3494,14.41,0,0,0,0.7037591999999999,0,1.1111653022799999,0.966,,,,0,,,0,0,0,0,0,0
315_STEAM_4,Node_315,Oil,,,,,yes,,2015,2050,12.0,5,0,0,0.0,0.0,0,0.0,0,0.02,60.0,60.0,4.0,2.0,10.3494,14.41,0,0,0,0.7037591999999999,0,1.1111653022799999,0.966,,,,0,,,0,0,0,0,0,0
315_STEAM_5,Node_315,Oil,,,,,yes,,2015,2050,12.0,5,0,0,0.0,0.0,0,0.0,0,0.02,60.0,60.0,4.0,2.0,10.3494,14.41,0,0,0,0.7037591999999999,0,1.1111653022799999,0.966,,,,0,,,0,0,0,0,0,0
315_CT_6,Node_315,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,10.342,0,0,0,5.665234428000001,0,0.5535442068944,0.966,,,,0,,,0,0,0,0,0,0
315_CT_7,Node_315,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,10.342,0,0,0,5.665234428000001,0,0.5535442068944,0.966,,,,0,,,0,0,0,0,0,0
315_CT_8,Node_315,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,10.342,0,0,0,5.665234428000001,0,0.5535442068944,0.966,,,,0,,,0,0,0,0,0,0
316_STEAM_1,Node_316,Coal,,,,,yes,,2015,2050,155.0,62,0,0,0.0,0.0,0,0.0,0,0.04,180.0,180.0,8.0,8.0,2.11399,11.846,0,0,0,22.784795619,0,1.128383669784,0.966,,,,0,,,0,0,0,0,0,0
318_CC_1,Node_318,NG,,,,,yes,,2015,2050,355.0,170,0,0,0.0,0.0,0,0.0,0,0.033,248.39999999999998,248.39999999999998,8.0,4.5,3.88722,7.952,0,0,0,28.046681022,0,0.42562207824639997,0.966,,,,0,,,0,0,0,0,0,0
321_CC_1,Node_321,NG,,,,,yes,,2015,2050,355.0,170,0,0,0.0,0.0,0,0.0,0,0.033,248.39999999999998,248.39999999999998,8.0,4.5,3.88722,7.227,0,0,0,28.046681022,0,0.38681724842640003,0.966,,,,0,,,0,0,0,0,0,0
322_CT_5,Node_322,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,12.064,0,0,0,5.665234428000001,0,0.6457123682047999,0.966,,,,0,,,0,0,0,0,0,0
322_CT_6,Node_322,NG,,,,,yes,,2015,2050,55.0,22,0,0,0.0,0.0,0,0.0,0,0.031,222.0,222.0,2.2,2.2,3.88722,12.064,0,0,0,5.665234428000001,0,0.6457123682047999,0.966,,,,0,,,0,0,0,0,0,0
323_CC_1,Node_323,NG,,,,,yes,,2015,2050,355.0,170,0,0,0.0,0.0,0,0.0,0,0.033,248.39999999999998,248.39999999999998,8.0,4.5,3.88722,7.381,0,0,0,28.046681022,0,0.3950599295192,0.966,,,,0,,,0,0,0,0,0,0
323_CC_2,Node_323,NG,,,,,yes,,2015,2050,355.0,170,0,0,0.0,0.0,0,0.0,0,0.033,248.39999999999998,248.39999999999998,8.0,4.5,3.88722,7.381,0,0,0,28.046681022,0,0.3950599295192,0.966,,,,0,,,0,0,0,0,0,0
114_SYNC_COND_1,Node_114,Sync_Cond,,,,,,,2015,2050,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,,,,0,,,0,0,0,0,0,0
121_NUCLEAR_1,Node_121,Nuclear,,,,yes,yes,,2015,2050,400.0,396,0,0,0.0,0.0,0,0.0,0,0.12,1200.0,1200.0,24.0,48.0,0.81035,10.0,0,0,0,63.999822300000005,0,0.0,0.22275641,,,,0,,,0,0,0,0,0,0
122_HYDRO_1,Node_122,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
122_HYDRO_2,Node_122,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
122_HYDRO_3,Node_122,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
122_HYDRO_4,Node_122,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
122_HYDRO_5,Node_122,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
122_HYDRO_6,Node_122,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
201_HYDRO_4,Node_201,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.0,0.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
214_SYNC_COND_1,Node_214,Sync_Cond,,,,,,,2015,2050,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,,,,0,,,0,0,0,0,0,0
215_HYDRO_1,Node_215,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
215_HYDRO_2,Node_215,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
215_HYDRO_3,Node_215,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
222_HYDRO_1,Node_222,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
222_HYDRO_2,Node_222,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
222_HYDRO_3,Node_222,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
222_HYDRO_4,Node_222,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
222_HYDRO_5,Node_222,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
222_HYDRO_6,Node_222,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
314_SYNC_COND_1,Node_314,Sync_Cond,,,,,,,2015,2050,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,,,,0,,,0,0,0,0,0,0
322_HYDRO_1,Node_322,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
322_HYDRO_2,Node_322,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
322_HYDRO_3,Node_322,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
322_HYDRO_4,Node_322,Hydro,,Weekly,Weekly,,,,2015,2050,50.0,0,0,0,0.5,1.0,0,0.0,0,0.01,3000.0,3000.0,0.0,0.0,0.0,3.412,0,0,0,0.0,0,0.0,0.01,,,,0,,,0,0,0,0,0,0
320_PV_1,Node_320,Solar,,,,,,yes,2015,2050,51.6,0,0,0,0.0,0.0,0,0.0,0,0.0,3096.0,3096.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.32,,,,0,,,0,0,0,0,0,0
314_PV_1,Node_314,Solar,,,,,,yes,2015,2050,51.6,0,0,0,0.0,0.0,0,0.0,0,0.0,3096.0,3096.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.32,,,,0,,,0,0,0,0,0,0
314_PV_2,Node_314,Solar,,,,,,yes,2015,2050,51.6,0,0,0,0.0,0.0,0,0.0,0,0.0,3096.0,3096.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.32,,,,0,,,0,0,0,0,0,0
313_PV_1,Node_313,Solar,,,,,,yes,2015,2050,95.1,0,0,0,0.0,0.0,0,0.0,0,0.0,5706.0,5706.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.32,,,,0,,,0,0,0,0,0,0
